id,material_id,subgroup_id,name,odoo_id,technical_content_name,crop,domain,sap_category,sap_subcategory,business_category,business_segment,brand,sbgroup_name,hsn,created_date,product_qty,product_unit,std_unit_qty,std_unit,tax_rate,median_price,seed_type
1,10000009,1115,Ashgourd Sungro 600 10 gm,7427,,Ash Gourd,Input,Seeds,Fruits and Vegetable,VEGETABLE SEEDS,BRANDED,SUNGRO,ASHGOURD SUNGRO 600,12099190,25-08-2022,10 gm,EA,0.01,KG,0.00%,49,
2,10000010,1116,Ashgourd VNR-11 F1 10 gm,7313,,Ash Gourd,Input,Seeds,Fruits and Vegetable,VEGETABLE SEEDS,BRANDED,VNR SEEDS,ASHGOURD VNR-11 F1,12099990,25-08-2022,10 gm,EA,0.01,KG,0.00%,0,
3,10002666,4439,Syngenta 5417 (Baby Corn) 20kg,,,Baby Corn,Input,Seeds,Cereal crops,FIELD CROP,BRANDED,SYNGENTA,SYNGENTA 5417 BABY CORN,12099190,08-10-2022,20 Kg,EA,20,KG,0.00%,13970,
4,10002915,4439,Syngenta Baby corn 5 Kg,,,Baby Corn,Input,Seeds,Cereal crops,FIELD CROP,BRANDED,SYNGENTA,SYNGENTA 5417 BABY CORN,10051000,12-12-2022,5 Kg,EA,5,KG,0.00%,0,
5,10003419,5781,Hybrid Bajra Seeds Ajeet 37 1.5 kg,,,Bajra,Input,Seeds,Cereal crops,FIELD CROP,BRANDED,AJEET SEEDS,HYBRID BAJRA SEEDS AJEET 37,12099190,20-05-2023,1.5 Kg,EA,1.5,KG,0.00%,0,
6,10000019,1174,Beans Ankur ARDL-183 250 gm,10865,,Beans,Input,Seeds,Fruits and Vegetable,VEGETABLE SEEDS,BRANDED,ANKUR SEED,BEANS ANKUR ARDL-183,12099190,25-08-2022,250 gm,EA,0.25,KG,0.00%,380,
7,10000020,1175,Beans anvay Hillguni 500 gm,8422,,Beans,Input,Seeds,Fruits and Vegetable,VEGETABLE SEEDS,BRANDED,ANVAY,BEANS ANVAY HILLGUNI,12099190,25-08-2022,500 gm,EA,0.5,KG,0.00%,0,
8,10000021,1176,Beans East West Reenu 100 gm,10517,,Beans,Input,Seeds,Fruits and Vegetable,VEGETABLE SEEDS,BRANDED,EAST WEST,BEANS EAST WEST REENU,12099190,25-08-2022,100 gm,EA,0.1,KG,0.00%,90,
9,10000022,1177,Beans Green Komal F1 500 gm,11611,,Beans,Input,Seeds,Fruits and Vegetable,VEGETABLE SEEDS,BRANDED,H M CLAUSE,BEANS GREEN KOMAL F1,12099190,25-08-2022,500 gm,EA,0.5,KG,0.00%,255,
10,10000023,1178,Beans Pahuja 500 gm,8391,,Beans,Input,Seeds,Fruits and Vegetable,VEGETABLE SEEDS,BRANDED,PAHUJA SEED,BEANS PAHUJA,12099190,25-08-2022,500 gm,EA,0.5,KG,0.00%,0,
11,10000024,1179,Beans PAN 4201 500 gm,8367,,Beans,Input,Seeds,Fruits and Vegetable,VEGETABLE SEEDS,BRANDED,PAN SEEDS,BEANS PAN 4201,12099190,25-08-2022,500 gm,EA,0.5,KG,0.00%,165,
12,10000025,1180,Beans Seminis Falguni 1 Kg,6197,,Beans,Input,Seeds,Fruits and Vegetable,VEGETABLE SEEDS,BRANDED,SEMINIS,BEANS SEMINIS FALGUNI,12099910,25-08-2022,1 Kg,EA,1,KG,0.00%,0,
