name,SoundD,Soundex,Metaphone
ASHGOURD SUNGRO   ,2263,A263,AXKRTSNKR
ASHGOURD VNR F  ,2263,A263,AXKRTFNRF
SYNGENTA  BABY CORN ,2525,S525,SNJNTBBKRN
SYNGENTA BABY CORN  ,2525,S525,SNJNTBBKRN
HYBRID BAJRA SEEDS AJEET  . ,1631,H163,HBRTBJRSTSJT
BEANS ANKUR ARDL  ,1525,B525,BNSNKRRTL
BEANS ANVAY HILLGUNI  ,1525,B525,BNSNFHLKN
BEANS EAST WEST REENU  ,1522,B522,BNSSTWSTRN
BEANS GREEN KOMAL F  ,1526,B526,BNSKRNKMLF
BEANS PAHUJA  ,1521,B521,BNSPHJ
BEANS PAN   ,1521,B521,BNSPN
BEANS SEMINIS FALGUNI  ,1525,B525,BNSMNSFLKN
BEANS SEMINIS FALGUNI  ,1525,B525,BNSMNSFLKN
BEANS SUPER AMERICA  ,1521,B521,BNSPRMRK
BEANS SYNGENTA SERENGETI  ,1525,B525,BNSNJNTSRNJT
BEANS SYNGENTA SERENGETI  ,1525,B525,BNSNJNTSRNJT
BEANS UJJWAL PADMINI  ,1522,B522,BNSJWLPTMN
FLAT BEANS SEEM LILA  ,1431,F431,FLTBNSMLL
FLAT BEANS VNR SEAM  ,1431,F431,FLTBNSFNRSM
YARD LONG BEANS ANKUR CHETKI  ,6345,Y634,YRTLNKBNSNKRXTK
YARD LONG BEANS ANKUR HARI  ,6345,Y634,YRTLNKBNSNKRHR
YARD LONG BEANS ANKUR HARI  ,6345,Y634,YRTLNKBNSNKRHR
YARD LONG BEANS ANKUR LAKHISARAI  ,6345,Y634,YRTLNKBNSNKRLKHSR
YARD LONG BEANS MALI MALI   ,6345,Y634,YRTLNKBNSMLML
YARD LONG BEANS SURVARNA  ,6345,Y634,YRTLNKBNSRFRN
YARD LONG BEANS SYNGENTA YB  ,6345,Y634,YRTLNKBNSNJNTB
ANKUR HY.BEANS DOLLY  ,5261,A526,ANKRHBNSTL
ANKUR BEANS ARDL  ,5261,A526,ANKRBNSRTL
ANKUR BEANS ARDL HRITU  ,5261,A526,ANKRBNSRTLHRT
ANKUR BEANS ARDL  ,5261,A526,ANKRBNSRTL
ANKUR HY.BEANS DOLLY  ,5261,A526,ANKRHBNSTL
BEETROOT GOLDEN SIKANDAR  ,1363,B363,BTRTKLTNSKNTR
BEETROOT GREEN LEAF  ,1363,B363,BTRTKRNLF
BEETROOT GREEN LEAF  ,1363,B363,BTRTKRNLF
MOONG SVM  ,5521,M521,MNKSFM
BEETROOT HYVEG RED RUBY  ,1363,B363,BTR0FKRTRB
BEETROOT PAHUJA DYNASTY  ,1363,B363,BTRTPHJTNST
BEETROOT PAHUJA RUBY QUEEN  ,1363,B363,BTRTPHJRBKN
BEETROOT PAHUJA RUBY QUEEN  ,1363,B363,BTRTPHJRBKN
BEETROOT SYNGENTA RUDDY  ,1363,B363,BTRTSNJNTRT
BEETROOT GOLDEN SIKANDAR  ,1363,B363,BTRTKLTNSKNTR
BEET ROOT ISHVED HY ISHVED RO  ,1363,B363,BTRTXFTHYXFTR
F LALIMA GOLDEN SEEDS  ,1445,F445,FLLMKLTNSTS
BERSEEM PATEL  ,1625,B625,BRSMPTL
BERSEEM PREMIUM  ,1625,B625,BRSMPRMM
BERSEEM LION  ,1625,B625,BRSMLN
BERSEEM SONA SIKKA  ,1625,B625,BRSMSNSK
BERSEEM SHIPRA  ,1625,B625,BRSMXPR
BHAJI SAG HINDUSTAN PURE GREEN  ,1225,B222,BHJSNTSTNPRKRN
BHAJI SAG HINDUSTAN PURE GREEN  ,1225,B222,BHJSNTSTNPRKRN
BITTERGOURD ANKUR  ,1362,B362,BTRKRTNKR
BITTERGOURD BASF AMANSHREE  ,1362,B362,BTRKRTBSFMNXR
BITTERGOURD BN BIPASA  ,1362,B362,BTRKRTBNBPS
